test_id,iterations,population_size,map_size,mutation_rate,experiment_duration,best_fitness
1,10,10,10,0.01,0.44475317001342773,1860.0
2,10,10,11,0.01,0.4838221073150635,1770.0
3,10,10,15,0.01,0.9266800880432129,1625.0
4,10,10,20,0.01,1.6556329727172852,570.0
5,10,10,10,0.05,0.35856103897094727,1835.0
6,10,10,11,0.05,0.45734500885009766,1780.0
7,10,10,15,0.05,0.7860009670257568,735.0
8,10,10,20,0.05,1.24664306640625,555.0
9,10,10,10,0.1,0.29470086097717285,875.0
10,10,10,11,0.1,0.4033010005950928,810.0
11,10,10,15,0.1,0.7593238353729248,730.0
12,10,10,20,0.1,1.499547004699707,570.0
13,10,100,10,0.01,3.471381187438965,1890.0
14,10,100,11,0.01,3.8799469470977783,1855.0
15,10,100,15,0.01,6.62021803855896,785.0
16,10,100,20,0.01,10.97306203842163,635.0
17,10,100,10,0.05,3.19376802444458,1895.0
18,10,100,11,0.05,3.9328219890594482,1795.0
19,10,100,15,0.05,6.693004131317139,790.0
20,10,100,20,0.05,11.479887962341309,650.0
21,10,100,10,0.1,3.0992591381073,1860.0
22,10,100,11,0.1,3.8160810470581055,865.0
23,10,100,15,0.1,6.502394199371338,770.0
24,10,100,20,0.1,11.590790033340454,640.0
25,10,100,10,0.01,3.358424186706543,1865.0
26,10,100,11,0.01,3.7031149864196777,870.0
27,10,100,15,0.01,6.710776090621948,1470.0
28,10,100,20,0.01,11.813406944274902,990.0
29,10,100,10,0.05,3.207350015640259,1860.0
30,10,100,11,0.05,3.9413740634918213,1870.0
31,10,100,15,0.05,6.62601900100708,760.0
32,10,100,20,0.05,11.65491795539856,620.0
33,10,100,10,0.1,3.067863941192627,1860.0
34,10,100,11,0.1,3.706594944000244,865.0
35,10,100,15,0.1,6.572731971740723,770.0
36,10,100,20,0.1,11.572346925735474,620.0
37,100,10,10,0.01,4.093318939208984,1900.0
38,100,10,11,0.01,5.069173097610474,1885.0
39,100,10,15,0.01,10.610926151275635,1770.0
40,100,10,20,0.01,19.345052003860474,1565.0
41,100,10,10,0.05,3.572129964828491,1850.0
42,100,10,11,0.05,3.9461779594421387,875.0
43,100,10,15,0.05,7.257399082183838,770.0
44,100,10,20,0.05,12.730915784835815,610.0
45,100,10,10,0.1,3.431839942932129,860.0
46,100,10,11,0.1,3.98173189163208,850.0
47,100,10,15,0.1,6.859798192977905,720.0
48,100,10,20,0.1,11.808357000350952,595.0
49,100,100,10,0.01,41.69563388824463,1925.0
50,100,100,11,0.01,50.193544149398804,1915.0
51,100,100,15,0.01,94.35949397087097,1865.0
52,100,100,20,0.01,129.25143599510193,810.0
53,100,100,10,0.05,40.63428020477295,1925.0
54,100,100,11,0.05,45.70793104171753,1870.0
55,100,100,15,0.05,73.69845294952393,830.0
56,100,100,20,0.05,114.85003781318665,695.0
57,100,100,10,0.1,35.24961495399475,1885.0
58,100,100,11,0.1,38.088618993759155,875.0
59,100,100,15,0.1,69.43058204650879,775.0
60,100,100,20,0.1,117.97750401496887,630.0
61,100,100,10,0.01,43.03701686859131,1925.0
62,100,100,11,0.01,50.186439990997314,1915.0
63,100,100,15,0.01,96.38594317436218,1865.0
64,100,100,20,0.01,119.49719500541687,795.0
65,100,100,10,0.05,39.572669982910156,1905.0
66,100,100,11,0.05,49.00545787811279,1865.0
67,100,100,15,0.05,68.21167802810669,835.0
68,100,100,20,0.05,113.37675189971924,680.0
69,100,100,10,0.1,35.241517066955566,1870.0
70,100,100,11,0.1,39.647732973098755,875.0
71,100,100,15,0.1,68.49785995483398,780.0
72,100,100,20,0.1,129.78158712387085,650.0
73,1000,10,10,0.01,53.36392903327942,1925.0
74,1000,10,11,0.01,58.678462982177734,1915.0
75,1000,10,15,0.01,93.89991497993469,845.0
76,1000,10,20,0.01,172.6566891670227,750.0
77,1000,10,10,0.05,52.42601299285889,835.0
78,1000,10,11,0.05,52.51281714439392,870.0
79,1000,10,15,0.05,93.26646709442139,745.0
80,1000,10,20,0.05,148.41515588760376,605.0
81,1000,10,10,0.1,41.582568883895874,1805.0
82,1000,10,11,0.1,48.13548302650452,845.0
83,1000,10,15,0.1,86.05603909492493,725.0
84,1000,10,20,0.1,145.57768082618713,585.0
85,1000,100,10,0.01,535.7617681026459,1925.0
86,1000,100,11,0.01,650.6383728981018,1920.0
87,1000,100,15,0.01,1293.2509410381317,1875.0
88,1000,100,20,0.01,2630.089383125305,1765.0
89,1000,100,10,0.05,454.36377596855164,1925.0
90,1000,100,11,0.05,13084.807291984558,1840.0
91,1000,100,15,0.05,733.658775806427,835.0
